"Orders_Unique","Returns_Unique","Frequency","Total_Items_Purchased","Quantity_Basket","Total_Items_Returned","Types_Items_Purchased","Unique_Item_Per_Basket","Types_Items_Returned","Unique_Item_Per_Return","Sales_Revenue","Return_Refund","Monetory_Value","Average_Unit_Price_Purchase","Average_Unit_Refund_Return","Country","Is_Buying_Most_Popular","Recency","Recency_Quantile","Frequency_Quantile","Monetory_Value_Quantile"
1,0,1,95,95,0,7,7,0,0,302.45,0,0,3.18368421052632,0,"United Kingdom","0",191,1,0.01,0.01
1,0,1,88,88,0,5,5,0,0,133.56,0,0,1.51772727272727,0,"United Kingdom","0",191,1,0.01,0.01
1,0,1,78,78,0,7,7,0,0,153.3,0,0,1.96538461538462,0,"United Kingdom","1",191,1,0.01,0.01
2,3,5,643,321.5,-19,46,23,7,2.33333333333333,1006.95,-98.27,908.68,1.56601866251944,5.17210526315789,"Poland","0",21,0.36,0.78,0.81
6,1,7,1163,193.833333333333,-1,103,21.3333333333333,1,1,1144.14,-4.15,1139.99,0.98378331900258,4.15,"United Kingdom","0",47,0.6,0.88,0.84
1,2,3,180,180,-2,18,18,2,1,364.82,-7.9,356.92,2.02677777777778,3.95,"United Kingdom","0",85,0.8,0.57,0.74
5,1,6,765,153,-11,55,14.8,3,3,1950.73,-24.15,1926.58,2.54997385620915,2.19545454545455,"United Kingdom","1",21,0.37,0.84,0.9
3,1,4,792,264,-2,34,21.3333333333333,1,1,1366.92,-15,1351.92,1.72590909090909,7.5,"United Kingdom","1",10,0.24,0.69,0.86
1,0,1,169,169,0,60,60,0,0,259.27,0,0,1.53414201183432,0,"United Kingdom","1",191,1,0.01,0.01
1,0,1,343,343,0,11,11,0,0,346.98,0,0,1.01160349854227,0,"United Kingdom","0",191,1,0.01,0.01
1,1,2,111,111,-2,14,14,2,2,254.4,-13.7,240.7,2.29189189189189,6.85,"United Kingdom","0",73,0.75,0.36,0.72
0,1,1,0,0,-2,0,0,2,2,0,-7.1,0,0,3.55,"United Kingdom","0",191,1,0.01,0.01
0,1,1,0,0,-6,0,0,4,4,0,-25,0,0,4.16666666666667,"United Kingdom","0",191,1,0.01,0.01
1,1,2,204,204,-4,11,11,1,1,478.12,-43.8,434.32,2.34372549019608,10.95,"United Kingdom","0",21,0.37,0.36,0.75
11,2,13,1545,140.454545454545,-11,104,11.9090909090909,2,1,2970.64,-26.45,2944.19,1.92274433656958,2.40454545454545,"United Kingdom","0",24,0.42,0.97,0.94
5,0,5,3118,623.6,0,129,38,0,0,2061.43,0,0,0.66113855035279,0,"United Kingdom","1",23,0.41,0.78,0.01
3,2,5,268,89.3333333333333,-2,28,10,2,1,568.72,-31.9,536.82,2.12208955223881,15.95,"United Kingdom","0",143,0.92,0.78,0.76
11,2,13,3529,320.818181818182,-205,120,14.0909090909091,23,12,1904.58,-387.96,1516.62,0.539693964295834,1.89248780487805,"United Kingdom","0",0,0.01,0.97,0.88
21,0,21,2828,134.666666666667,0,270,43.0476190476191,0,0,4158.4,0,0,1.47043847241867,0,"United Kingdom","1",1,0.02,0.99,0.01
3,2,5,2241,747,-6,129,52.3333333333333,4,2,3890.17,-13.16,3877.01,1.73590807675145,2.19333333333333,"United Kingdom","0",4,0.13,0.78,0.96
2,2,4,494,247,-6,25,13,3,1.5,650.3,-22.24,628.06,1.3163967611336,3.70666666666667,"United Kingdom","0",39,0.55,0.69,0.78
2,0,2,722,361,0,27,18,0,0,729.32,0,0,1.01013850415512,0,"United Kingdom","0",119,0.88,0.36,0.01
16,1,17,2022,126.375,-4,214,28.75,1,1,3286.39,-19.8,3266.59,1.62531651829871,4.95,"United Kingdom","0",1,0.05,0.98,0.95
14,6,20,2075,148.214285714286,-41,130,12.5714285714286,6,1.33333333333333,3144.26,-54.89,3089.37,1.51530602409639,1.33878048780488,"United Kingdom","1",1,0.02,0.99,0.94
10,1,11,466,46.6,-4,20,3.6,1,1,1259.95,-7.16,1252.79,2.70375536480687,1.79,"United Kingdom","1",9,0.21,0.95,0.85
4,1,5,526,131.5,-23,16,5.75,1,1,734.66,-28.75,705.91,1.39669201520913,1.25,"United Kingdom","1",7,0.16,0.78,0.79
5,1,6,725,145,-6,77,17,2,2,1616.43,-13.2,1603.23,2.22955862068966,2.2,"United Kingdom","1",39,0.55,0.84,0.88
4,1,5,671,167.75,-5,40,10.25,1,1,1226.8,-4.25,1222.55,1.82831594634873,0.85,"United Kingdom","0",52,0.64,0.78,0.85
4,0,4,608,152,0,2,1.25,0,0,2529.6,0,0,4.16052631578947,0,"United Kingdom","0",127,0.89,0.69,0.01
1,2,3,1,1,-6,1,1,3,1.5,8.25,-34,-25.75,8.25,5.66666666666667,"United Kingdom","0",158,0.95,0.57,0.01
1,1,2,327,327,-20,24,24,2,2,414.48,-37.3,377.18,1.26752293577982,1.865,"United Kingdom","0",8,0.19,0.36,0.74
5,4,9,552,110.4,-22,58,15,11,3,1374.74,-69.24,1305.5,2.49047101449275,3.14727272727273,"Germany","1",29,0.46,0.92,0.86
140,34,174,62498,446.414285714286,-2805,1483,29.2142857142857,141,5,104916.43,-6526.62,98389.81,1.67871659893117,2.3267807486631,"EIRE","1",1,0.03,1,1
5,0,5,582,116.4,0,106,29,0,0,984.2,0,0,1.69106529209622,0,"United Kingdom","0",32,0.5,0.78,0.01
5,1,6,495,99,-1,42,10,1,1,896.15,-8.25,887.9,1.81040404040404,8.25,"United Kingdom","0",28,0.45,0.84,0.81
8,8,16,2527,315.875,-66,80,18.875,22,3.5,5808.65,-221.35,5587.3,2.29863474475663,3.35378787878788,"Germany","1",3,0.08,0.98,0.98
18,1,19,25927,1440.38888888889,-322,583,46.7777777777778,3,3,24718.67,-664.86,24053.81,0.953394916496317,2.06478260869565,"United Kingdom","1",3,0.09,0.99,1
8,2,10,1644,205.5,-44,86,13.125,3,1.5,3328.92,-61.16,3267.76,2.02489051094891,1.39,"Australia","1",35,0.51,0.93,0.95
8,2,10,1644,205.5,-44,86,13.125,3,1.5,3328.92,-61.16,3267.76,2.02489051094891,1.39,"Belgium","1",35,0.51,0.93,0.95
19,1,20,3169,166.789473684211,-4,64,13.3157894736842,2,2,5904.65,-14.06,5890.59,1.8632533922373,3.515,"United Kingdom","0",7,0.16,0.99,0.98
2,1,3,200,100,-6,25,12.5,1,1,404.3,-24.9,379.4,2.0215,4.15,"United Kingdom","0",173,0.98,0.57,0.74
0,1,1,0,0,-8,0,0,3,3,0,-33,0,0,4.125,"United Kingdom","0",190,1,0.01,0.01
4,3,7,449,112.25,-108,47,11.75,16,5.66666666666667,1107.56,-389.78,717.78,2.46672605790646,3.60907407407407,"United Kingdom","0",3,0.09,0.88,0.79
12,5,17,3628,302.333333333333,-14,173,36.1666666666667,8,1.6,4381.28,-163.64,4217.64,1.20762954796031,11.6885714285714,"United Kingdom","1",36,0.53,0.98,0.97
1,1,2,128,128,-6,17,17,1,1,305.24,-17.7,287.54,2.3846875,2.95,"United Kingdom","1",114,0.87,0.36,0.72
2,0,2,935,467.5,0,122,68,0,0,1865.13,0,0,1.99479144385027,0,"United Kingdom","1",82,0.79,0.36,0.01
1,0,1,87,87,0,18,18,0,0,192.23,0,0,2.20954022988506,0,"United Kingdom","0",190,1,0.01,0.01
11,3,14,2636,239.636363636364,-22,188,20.7272727272727,4,1.33333333333333,3207.89,-26.68,3181.21,1.21695371775417,1.21272727272727,"United Kingdom","1",11,0.24,0.97,0.95
0,1,1,0,0,-48,0,0,1,1,0,-18.72,0,0,0.39,"United Kingdom","0",190,1,0.01,0.01
48,12,60,19187,399.729166666667,-262,402,24.5416666666667,39,5.58333333333333,31080.59,-721.49,30359.1,1.61987752123834,2.7537786259542,"United Kingdom","1",0,0.01,1,1
8,4,12,1033,129.125,-16,58,13.625,7,1.75,2311.35,-35.5,2275.85,2.23751210067764,2.21875,"United Kingdom","1",2,0.05,0.96,0.92
2,1,3,465,232.5,-2,32,16.5,2,2,430.06,-18.45,411.61,0.924860215053763,9.225,"Germany","0",96,0.83,0.57,0.75
2,2,4,729,364.5,-19,33,22.5,10,5.5,1043.46,-31.2,1012.26,1.43135802469136,1.64210526315789,"United Kingdom","0",8,0.18,0.69,0.83
2,0,2,199,99.5,0,59,31,0,0,402.2,0,0,2.02110552763819,0,"United Kingdom","1",29,0.46,0.36,0.01
10,6,16,2099,209.9,-30,109,22.3,10,1.83333333333333,4235.48,-130.59,4104.89,2.01785612196284,4.353,"United Kingdom","1",25,0.43,0.98,0.97
37,14,51,9634,260.378378378378,-88,175,7.75675675675676,9,1.21428571428571,17009.93,-543.68,16466.25,1.76561449034669,6.17818181818182,"United Kingdom","1",1,0.02,1,1
13,1,14,15130,1163.84615384615,-1,44,9.30769230769231,1,1,27540.18,-11.52,27528.66,1.82023661599471,11.52,"United Kingdom","0",11,0.25,0.97,1
11,1,12,1436,130.545454545455,-1,25,12.1818181818182,1,1,1868.84,-1.25,1867.59,1.30142061281337,1.25,"United Kingdom","0",80,0.79,0.96,0.9
3,1,4,234,78,-1,11,4,1,1,334.54,-0.65,333.89,1.42965811965812,0.65,"United Kingdom","0",15,0.29,0.69,0.73
2,2,4,576,288,-16,22,11.5,3,1.5,610.8,-14.96,595.84,1.06041666666667,0.935,"United Kingdom","0",64,0.71,0.69,0.77
12,2,14,1458,121.5,-2,15,4.5,2,1,4646.6,-15.25,4631.35,3.18696844993141,7.625,"United Kingdom","0",2,0.07,0.97,0.97
9,2,11,756,84,-8,20,4.33333333333333,1,1,2949.98,-20.8,2929.18,3.90208994708995,2.6,"United Kingdom","1",8,0.17,0.95,0.94
5,0,5,349,69.8,0,11,4,0,0,681.91,0,0,1.95389684813754,0,"United Kingdom","0",29,0.47,0.78,0.01
22,10,32,5211,236.863636363636,-136,161,10.5454545454545,19,2.2,8102.39,-250.63,7851.76,1.55486279025139,1.84286764705882,"United Kingdom","0",3,0.09,1,0.99
2,1,3,324,162,-3,26,14,3,3,570.56,-17.9,552.66,1.76098765432099,5.96666666666667,"United Kingdom","0",22,0.38,0.57,0.77
1,0,1,49,49,0,22,22,0,0,119.93,0,0,2.44755102040816,0,"United Kingdom","0",190,1,0.01,0.01
3,2,5,858,286,-17,36,12.6666666666667,3,1.5,998.57,-14.27,984.3,1.1638344988345,0.839411764705882,"United Kingdom","0",29,0.46,0.78,0.82
2,2,4,609,304.5,-5,124,72.5,4,2,998.4,-24.35,974.05,1.63940886699507,4.87,"United Kingdom","0",21,0.37,0.69,0.82
1,1,2,173,173,-1,21,21,1,1,389.45,-8.25,381.2,2.25115606936416,8.25,"United Kingdom","0",43,0.57,0.36,0.74
0,1,1,0,0,-4,0,0,2,2,0,-2.88,0,0,0.72,"Germany","0",190,1,0.01,0.01
2,2,4,73,36.5,-72,4,3,3,2.5,112.2,-97.2,15,1.53698630136986,1.35,"United Kingdom","0",164,0.96,0.69,0.7
7,0,7,1283,183.285714285714,0,143,23.8571428571429,0,0,3408.06,0,0,2.65632112236945,0,"United Kingdom","1",14,0.27,0.88,0.02
5,0,5,2333,466.6,0,11,3.6,0,0,3850.57,0,0,1.65048006858123,0,"United Kingdom","1",15,0.29,0.78,0.02
5,1,6,1361,272.2,-23,232,55.8,2,2,2481.6,-37.95,2443.65,1.82336517266716,1.65,"Germany","0",28,0.44,0.84,0.93
9,8,17,1620,180,-51,79,16.3333333333333,21,3.5,3221.28,-118.76,3102.52,1.98844444444444,2.32862745098039,"United Kingdom","0",2,0.05,0.98,0.94
1,0,1,2,2,0,1,1,0,0,7.5,0,0,3.75,0,"United Kingdom","0",190,1,0.01,0.02
6,3,9,3110,518.333333333333,-14,114,23.8333333333333,5,1.66666666666667,3955.35,-16.51,3938.84,1.27181672025723,1.17928571428571,"United Kingdom","1",3,0.09,0.92,0.96
11,3,14,1287,117,-11,78,16.6363636363636,3,1.33333333333333,3730.43,-28.24,3702.19,2.89854700854701,2.56727272727273,"United Kingdom","1",37,0.54,0.97,0.96
8,3,11,230,28.75,-23,25,3.5,11,4,1408.53,-172.05,1236.48,6.12404347826087,7.48043478260869,"United Kingdom","0",3,0.09,0.95,0.85
7,1,8,1813,259,-1,109,21.7142857142857,1,1,2568.82,-4.95,2563.87,1.41688913403199,4.95,"United Kingdom","1",42,0.57,0.9,0.93
47,1,48,5913,125.808510638298,-37,70,3.63829787234043,1,1,6551.69,-220.15,6331.54,1.10801454422459,5.95,"United Kingdom","0",3,0.08,1,0.98
1,0,1,198,198,0,30,30,0,0,455.25,0,0,2.29924242424242,0,"United Kingdom","1",190,1,0.01,0.02
0,1,1,0,0,-6,0,0,2,2,0,-27.6,0,0,4.6,"United Kingdom","0",190,1,0.01,0.02
11,2,13,3125,284.090909090909,-14,310,57.0909090909091,14,7,3144.17,-16.15,3128.02,1.0061344,1.15357142857143,"United Kingdom","1",12,0.26,0.97,0.94
12,1,13,10738,894.833333333333,-72,314,41.3333333333333,1,1,42946.9,-76.32,42870.58,3.99952505121997,1.06,"United Kingdom","1",10,0.22,0.97,1
4,0,4,313,78.25,0,21,6.5,0,0,623.99,0,0,1.99357827476038,0,"Sweden","0",24,0.41,0.69,0.02
5,3,8,1079,215.8,-4,210,58.6,3,1,1805.16,-30.8,1774.36,1.67299351251158,7.7,"United Kingdom","1",12,0.26,0.9,0.89
1,1,2,136,136,-1,14,14,1,1,296.7,-3.25,293.45,2.18161764705882,3.25,"United Kingdom","1",120,0.88,0.36,0.72
2,0,2,466,233,0,28,14.5,0,0,641.16,0,0,1.37587982832618,0,"Netherlands","0",17,0.31,0.37,0.02
1,0,1,136,136,0,22,22,0,0,390.09,0,0,2.86830882352941,0,"United Kingdom","0",189,1,0.01,0.02
2,1,3,228,114,-10,18,9.5,2,2,414.2,-41.3,372.9,1.81666666666667,4.13,"United Kingdom","0",56,0.65,0.57,0.74
2,1,3,295,147.5,-20,30,16.5,1,1,347.69,-25,322.69,1.17861016949153,1.25,"United Kingdom","0",121,0.88,0.57,0.73
1,0,1,170,170,0,16,16,0,0,266.1,0,0,1.56529411764706,0,"United Kingdom","1",189,1,0.01,0.02
3,0,3,117,39,0,6,2.33333333333333,0,0,356.85,0,0,3.05,0,"United Kingdom","1",88,0.81,0.57,0.02
5,0,5,1232,246.4,0,58,18,0,0,1893.39,0,0,1.53684253246753,0,"United Kingdom","0",10,0.23,0.78,0.02
1,0,1,23,23,0,4,4,0,0,68.1,0,0,2.96086956521739,0,"Germany","0",189,1,0.01,0.02
16,7,23,2986,186.625,-20,186,15.375,6,1.42857142857143,7489.59,-638.94,6850.65,2.50823509711989,31.947,"United Kingdom","1",0,0.01,0.99,0.99
8,3,11,2099,262.375,-13,126,22.625,5,1.66666666666667,4016.95,-59.5,3957.45,1.91374464030491,4.57692307692308,"United Kingdom","1",7,0.15,0.95,0.96
4,0,4,566,141.5,0,44,12,0,0,767.96,0,0,1.35681978798587,0,"Spain","0",73,0.75,0.69,0.02
1,0,1,130,130,0,30,30,0,0,232.21,0,0,1.78623076923077,0,"United Kingdom","1",189,1,0.01,0.02
8,3,11,4887,610.875,-160,77,12.25,6,2,3503.13,-192.98,3310.15,0.7168262737876,1.206125,"United Kingdom","0",8,0.19,0.95,0.95
2,0,2,993,496.5,0,61,36,0,0,1473.55,0,0,1.48393756294058,0,"United Kingdom","0",32,0.5,0.37,0.02
2,1,3,132,66,-3,11,6.5,3,3,221.99,-10.5,211.49,1.68174242424242,3.5,"United Kingdom","0",81,0.79,0.57,0.71
2,0,2,68,34,0,23,13,0,0,260.43,0,0,3.82985294117647,0,"United Kingdom","1",50,0.62,0.37,0.02
2,1,3,1000,500,-6,135,74.5,4,4,3923.62,-91.25,3832.37,3.92362,15.2083333333333,"Cyprus","1",7,0.15,0.57,0.96
14,3,17,7807,557.642857142857,-12,25,7.42857142857143,5,1.66666666666667,16060.51,-26.56,16033.95,2.05719354425516,2.21333333333333,"United Kingdom","1",0,0.01,0.98,1
26,3,29,4462,171.615384615385,-22,64,5.23076923076923,5,1.66666666666667,11303.94,-46.43,11257.51,2.533379650381,2.11045454545455,"United Kingdom","1",1,0.03,1,0.99
2,0,2,262,131,0,38,20,0,0,680.46,0,0,2.59717557251908,0,"United Kingdom","0",96,0.83,0.37,0.02
2,0,2,305,152.5,0,25,13,0,0,465.68,0,0,1.52681967213115,0,"United Kingdom","1",124,0.89,0.37,0.02
6,1,7,566,94.3333333333333,-4,128,35,2,2,1336.73,-26.48,1310.25,2.36171378091873,6.62,"United Kingdom","0",12,0.26,0.88,0.86
32,6,38,27690,865.3125,-2879,24,1.75,8,1.33333333333333,49451.68,-5279.64,44172.04,1.78590393643915,1.83384508509899,"United Kingdom","1",1,0.05,1,1
12,2,14,3578,298.166666666667,-742,49,6.91666666666667,9,4.5,5939.16,-602.18,5336.98,1.65991056456121,0.811563342318059,"United Kingdom","1",2,0.07,0.97,0.98
1,0,1,333,333,0,21,21,0,0,319.02,0,0,0.958018018018018,0,"United Kingdom","0",189,1,0.01,0.02
11,0,11,1415,128.636363636364,0,44,7,0,0,2218.65,0,0,1.56795053003534,0,"United Kingdom","1",31,0.48,0.95,0.02
7,3,10,311,44.4285714285714,-11,36,6,5,2,712.24,-60.31,651.93,2.29016077170418,5.48272727272727,"United Kingdom","0",14,0.27,0.93,0.78
11,1,12,1140,103.636363636364,-10,75,13.7272727272727,1,1,2216.04,-20.8,2195.24,1.94389473684211,2.08,"United Kingdom","0",12,0.26,0.96,0.92
1,0,1,193,193,0,8,8,0,0,349.1,0,0,1.80880829015544,0,"United Kingdom","0",189,1,0.01,0.02
1,0,1,72,72,0,2,2,0,0,39.12,0,0,0.543333333333333,0,"United Kingdom","0",189,1,0.01,0.02
1,0,1,23,23,0,5,5,0,0,107.65,0,0,4.6804347826087,0,"United Kingdom","0",189,1,0.01,0.02
3,0,3,470,156.666666666667,0,34,12,0,0,1036.38,0,0,2.20506382978723,0,"United Kingdom","1",107,0.85,0.57,0.02
3,0,3,143,47.6666666666667,0,36,12.6666666666667,0,0,371.16,0,0,2.59552447552448,0,"United Kingdom","1",189,1,0.57,0.02
8,1,9,2095,261.875,-12,69,19.25,1,1,2959.73,-15,2944.73,1.41275894988067,1.25,"United Kingdom","1",22,0.39,0.92,0.94
7,0,7,746,106.571428571429,0,121,24.8571428571429,0,0,1491.43,0,0,1.99923592493298,0,"United Kingdom","0",30,0.48,0.88,0.02
7,2,9,2129,304.142857142857,-4,68,14.4285714285714,2,1,3809.89,-15.4,3794.49,1.78952090183185,3.85,"United Kingdom","0",5,0.14,0.92,0.96
1,0,1,58,58,0,9,9,0,0,156.48,0,0,2.69793103448276,0,"United Kingdom","0",187,1,0.01,0.02
7,3,10,1461,208.714285714286,-234,51,10.2857142857143,5,2,2250.45,-341.85,1908.6,1.54034907597536,1.46089743589744,"United Kingdom","0",4,0.13,0.93,0.9
3,2,5,474,158,-7,4,2.33333333333333,2,1.5,2808.54,-213.09,2595.45,5.92518987341772,30.4414285714286,"United Kingdom","0",155,0.94,0.78,0.93
6,3,9,797,132.833333333333,-7,78,15.1666666666667,4,1.66666666666667,1637.2,-24.85,1612.35,2.05420326223338,3.55,"United Kingdom","1",8,0.19,0.92,0.88
7,1,8,1025,146.428571428571,-6,120,20.7142857142857,2,2,2607.25,-9.5,2597.75,2.54365853658537,1.58333333333333,"United Kingdom","0",30,0.48,0.9,0.93
13,5,18,3472,267.076923076923,-66,237,25.3846153846154,12,2.6,9615.64,-407.12,9208.52,2.76948156682028,6.16848484848485,"United Kingdom","1",4,0.13,0.99,0.99
3,1,4,447,149,-4,30,14.6666666666667,2,2,1073.3,-34,1039.3,2.40111856823266,8.5,"United Kingdom","0",23,0.39,0.69,0.83
2,0,2,505,252.5,0,30,16.5,0,0,554.38,0,0,1.09778217821782,0,"United Kingdom","0",148,0.93,0.37,0.02
5,0,5,1040,208,0,15,6,0,0,1028,0,0,0.988461538461539,0,"United Kingdom","0",4,0.12,0.78,0.02
3,1,4,121,40.3333333333333,-30,45,16.3333333333333,3,3,304.13,-39.9,264.23,2.51347107438017,1.33,"United Kingdom","1",43,0.57,0.69,0.72
11,1,12,1579,143.545454545455,-1,56,7.18181818181818,1,1,3970.94,-3.39,3967.55,2.51484483850538,3.39,"United Kingdom","0",10,0.22,0.96,0.96
5,1,6,553,110.6,-1,53,15.6,1,1,1734.77,-42,1692.77,3.13701627486438,42,"United Kingdom","1",1,0.04,0.84,0.89
1,1,2,239,239,-2,26,26,2,2,508.95,-5.5,503.45,2.12949790794979,2.75,"Germany","0",143,0.92,0.37,0.76
10,1,11,1934,193.4,-24,219,37.3,1,1,3925.56,-70.8,3854.76,2.02976215098242,2.95,"United Kingdom","1",12,0.26,0.95,0.96
9,0,9,1700,188.888888888889,0,40,13.6666666666667,0,0,3310.9,0,0,1.94758823529412,0,"United Kingdom","0",15,0.28,0.92,0.02
6,0,6,1367,227.833333333333,0,52,9.33333333333333,0,0,2600.15,0,0,1.90208485735187,0,"United Kingdom","0",108,0.86,0.84,0.02
7,0,7,1130,161.428571428571,0,31,6.14285714285714,0,0,3802.42,0,0,3.36497345132743,0,"United Kingdom","1",0,0.01,0.88,0.02
7,1,8,8411,1201.57142857143,-24,78,15.8571428571429,2,2,13676.62,-40.2,13636.42,1.6260397099037,1.675,"France","0",42,0.57,0.9,1
4,1,5,911,227.75,-5,41,14,3,3,1887.16,-41.35,1845.81,2.07152579582876,8.27,"United Kingdom","0",35,0.52,0.78,0.9
1,0,1,48,48,0,1,1,0,0,31.2,0,0,0.65,0,"United Kingdom","0",187,1,0.01,0.02
12,0,12,1476,123,0,41,10.8333333333333,0,0,2343.34,0,0,1.58762872628726,0,"United Kingdom","1",2,0.07,0.96,0.02
19,5,24,5494,289.157894736842,-36,202,26,8,1.8,12868.13,-153.88,12714.25,2.34221514379323,4.27444444444444,"United Kingdom","1",1,0.04,1,0.99
7,0,7,837,119.571428571429,0,169,39.8571428571429,0,0,1371.77,0,0,1.63891278375149,0,"United Kingdom","1",1,0.03,0.88,0.02
1,0,1,72,72,0,9,9,0,0,148.96,0,0,2.06888888888889,0,"United Kingdom","0",187,1,0.01,0.02
4,0,4,359,89.75,0,55,19.5,0,0,596.91,0,0,1.66270194986072,0,"United Kingdom","1",103,0.84,0.69,0.03
10,5,15,1432,143.2,-88,179,24.4,16,3.4,2576.96,-113.32,2463.64,1.7995530726257,1.28772727272727,"United Kingdom","0",2,0.05,0.98,0.93
1,0,1,49,49,0,20,20,0,0,144.45,0,0,2.94795918367347,0,"United Kingdom","0",187,1,0.01,0.03
3,1,4,465,155,-2,46,16.3333333333333,1,1,1108.85,-8.5,1100.35,2.38462365591398,4.25,"European Community","0",141,0.92,0.69,0.84
46,8,54,16347,355.369565217391,-66,426,20.2826086956522,10,2,30885.89,-190.9,30694.99,1.88939193735854,2.89242424242424,"United Kingdom","1",2,0.05,1,1
4,1,5,863,215.75,-6,66,19,4,4,1482.66,-22.6,1460.06,1.71803012746234,3.76666666666667,"United Kingdom","1",1,0.03,0.78,0.87
11,0,11,5206,473.272727272727,0,197,36.4545454545455,0,0,8091.01,0,0,1.55417018824433,0,"United Kingdom","1",2,0.07,0.95,0.03
10,2,12,3034,303.4,-8,151,25.9,3,1.5,5742.61,-67.45,5675.16,1.89275214238629,8.43125,"France","1",14,0.27,0.96,0.98
22,8,30,2408,109.454545454545,-45,218,21,15,2.125,3873.19,-142.32,3730.87,1.60846760797342,3.16266666666667,"United Kingdom","0",4,0.13,1,0.96
2,0,2,194,97,0,33,18.5,0,0,387.9,0,0,1.99948453608247,0,"United Kingdom","1",52,0.63,0.37,0.03
2,0,2,958,479,0,28,20,0,0,1264.36,0,0,1.31979123173278,0,"United Kingdom","0",134,0.91,0.37,0.03
4,1,5,1064,266,-3,75,19.75,2,2,1206.35,-6.73,1199.62,1.13378759398496,2.24333333333333,"United Kingdom","0",4,0.12,0.78,0.85
5,1,6,338,67.6,-1,117,31.4,1,1,739.66,-8.5,731.16,2.18834319526627,8.5,"United Kingdom","1",12,0.26,0.84,0.79
7,0,7,1320,188.571428571429,0,102,21.8571428571429,0,0,2505.38,0,0,1.89801515151515,0,"Germany","0",0,0.01,0.88,0.03
7,1,8,440,62.8571428571429,-6,95,16.5714285714286,1,1,1481.54,-8.7,1472.84,3.36713636363636,1.45,"United Kingdom","0",16,0.3,0.9,0.87
